district_id,district_name,area_km2,centroid_lat,centroid_lon,elevation_m_mean,elevation_m_min,river_distance_m_mean,river_distance_m_min,slope_deg_mean,slope_deg_min
5762,Barisal,2544.9957505454063,22.819859427825367,90.36854917042447,5.462467215221389,-15,1777.3282558249007,0.0,1.4263847442320992,0.0
5763,Bhola,2279.518277007871,22.437036034761487,90.7318939744853,4.237347243600549,-15,1520.516289191981,0.0,1.045130775623084,0.0
5764,Jhalokati,744.3881810429749,22.573584342888633,90.18409659261569,6.468712859943895,-6,2566.3262245871706,0.0,1.5890219012331726,0.0
5765,Patuakhali,2521.9215791109496,22.21242771970887,90.39947861841063,5.33392793526095,-10,1383.5635559514117,0.0,1.293165300904457,0.0
5766,Pirojpur,1258.622755951127,22.53436312073024,89.99360680997185,6.499459551615778,-6,2520.511248390907,0.0,1.5246921037731715,0.0
5767,Bandarban,4632.523967326205,21.8041796085099,92.36383649565265,193.43308442566286,0,11690.765706298307,0.0,12.675502567134455,0.0
5768,Brahamanbaria,1918.608270838326,23.952963154871618,91.08257549252167,8.212964186073016,-17,2131.0049774626536,0.0,1.3572929277296948,0.0
5769,Chandpur,1708.8135864121232,23.262242385211323,90.75093309202319,7.293405695996998,-15,4505.880364584009,0.0,1.3866789419699428,0.0
5770,Chittagong,4368.3991257543785,22.436843015924246,91.84685187332907,22.828773487940456,-17,4374.811512470436,0.0,2.8186607326999145,0.0
5771,Comilla,3068.4605166953875,23.437099330486173,91.03195250419192,9.699087588207615,-6,5376.481978393961,0.0,1.235280907760934,0.0
5772,Cox's Bazar,2048.7484004515527,21.48601286111613,92.067881635101,17.911375055157162,-30,2711.7391897007847,0.0,3.1323262466371866,0.0
5773,Feni,882.4415038186027,23.001213073513593,91.4094741929515,9.869416997091227,-24,4174.049226524068,0.0,1.368797623461803,0.0
5774,Khagrachhari,2851.5163635435065,23.163360172056752,91.95225227870678,97.14076089271838,11,13913.287884525516,0.0,6.472800762770219,0.0
5775,Lakshmipur,1446.3344804197934,22.85658398197251,90.85894160653983,7.171108788987962,-7,4116.2679939632635,0.0,1.394892249776605,0.0
5776,Noakhali,2431.5041136100685,22.72641865115516,91.12391485335085,7.450093604946056,-13,4580.417958335621,0.0,1.2922392423277638,0.0
5777,Rangamati,5726.181239953771,22.82627415410496,92.27893511755683,142.92649667830213,-4,47882.286671137175,0.0,9.791869820677913,0.0
5778,Dhaka,1471.0361665691457,23.787893671861433,90.2515837717864,9.216516062794218,-31,2887.2786907203495,0.0,1.4909801969815537,0.0
5779,Faridpur,2038.61148169278,23.477366816337064,89.83688084144467,7.956147724417324,-6,4300.251229243771,0.0,1.1789019607788964,0.0
5780,Gazipur,1767.554442763749,24.10590380603046,90.44321680022345,14.123494302165119,-7,3538.476614167894,0.0,1.6359542818519153,0.0
5781,Gopalganj,1470.9382197961825,23.104257654279422,89.89886218568253,5.3559995314076065,-11,5472.026367851138,0.0,1.0587733815407097,0.0
5782,Jamalpur,2055.3503616721073,24.972422693300363,89.84676561122384,19.820025490685634,-17,2461.7262550431733,0.0,1.4100988490223358,0.0
5783,Kishoreganj,2564.3657730186856,24.376820260101166,90.94284399124963,8.705461617345152,-18,1843.914405736415,0.0,1.098802233424848,0.0
5784,Madaripur,1152.8383140812016,23.22067921799606,90.16270555099314,6.149067747370554,-5,2969.199323424447,0.0,1.122530880888047,0.0
5785,Manikganj,1398.0833538574748,23.84155351208522,89.95042803815838,8.81227419112001,-12,2661.5496834347673,0.0,1.3321411573278474,0.0
5786,Munshiganj,948.3881421501196,23.526504775838912,90.4187715711361,5.974207999756832,-14,2586.9163519949593,0.0,1.1593447890371322,0.0
5787,Mymensingh,4336.852181838599,24.69776202082477,90.42802104577707,14.886318595314831,-8,3409.064275629947,0.0,1.3724468105859569,0.0
5788,Narayanganj,760.0604620750463,23.740082555904426,90.5746117209788,7.916191765732153,-14,2339.637363477415,0.0,1.2769668707074229,0.0
5789,Narsingdi,1167.9342783378313,24.003679491157786,90.77455011763182,10.2043529447346,-8,3197.5167044039877,0.0,1.3532193180336856,0.0
5790,Netrakona,2796.7090394205493,24.868262361363136,90.84449540208233,10.683244608812734,-16,1546.7794956443825,0.0,1.2699098831819755,0.0
5791,Rajbari,1141.542799576647,23.728425713228333,89.56297140416618,10.458514742533275,-21,3767.007812386949,0.0,1.2936491224045326,0.0
5792,Shariatpur,1248.7305044523628,23.24356360057928,90.4166280369281,6.465019952221199,-12,2172.369658568557,0.0,1.210705201833243,0.0
5793,Sherpur,1315.0560052289013,25.08097124740878,90.07392249000456,22.096250880427935,6,3505.445084399618,0.0,1.4429386422467427,0.0
5794,Tangail,3369.608623355758,24.356088683840294,89.9987322039821,15.85780475243838,-4,3869.557604240493,0.0,1.5116555641060636,0.0
5795,Bagerhat,3658.962846336488,22.374406132714057,89.73895123472703,7.874250636287066,-8,1456.2915652353392,0.0,1.2543991969347534,0.0
5796,Chuadanga,1127.3111679531478,23.607947600922355,88.84815458399311,13.996854788305802,-4,5730.335713635327,0.0,1.1914496922957916,0.0
5797,Jessore,2555.9105069032844,23.089989487310003,89.17836357231741,8.214704637854483,-13,3708.088096504361,0.0,1.2733913268395762,0.0
5798,Jhenaidah,1961.5911631906897,23.48986155578904,89.08886845267381,11.253702252600538,-6,6130.816100537016,0.0,1.2407644588095204,0.0
5799,Khulna,3566.5121688980576,22.470099443999114,89.44608956357783,5.9608801353440315,-18,1071.446502682444,0.0,1.051664450623751,0.0
5800,Kushtia,1669.3030192544852,23.925837373985203,89.01557009820938,14.82792909248736,-24,4093.490299404006,0.0,1.3837581203501008,0.0
5801,Magura,1047.2239967759597,23.44296565860435,89.43427011267353,9.033793408729812,-7,6774.475109258634,0.0,1.3081851959362145,0.0
5802,Meherpur,669.0209369977285,23.793857454368062,88.71324756784068,16.811518015498166,-1,6851.788136930806,0.0,1.1965756969393628,0.0
5803,Narail,984.428132911877,23.13061117342371,89.578997473786,6.477405544148084,-9,3191.347532082911,0.0,1.246233925245027,0.0
5804,Satkhira,3269.6083931944963,22.37862815768123,89.13898508021583,4.489822110508081,-16,1086.77022529063,0.0,1.1051415748350852,0.0
5821,Habiganj,2597.4458121919342,24.367980774956976,91.42973410649344,15.848258574802557,-4,2660.197337159722,0.0,1.5679037648189167,0.0
5822,Maulvibazar,2560.07887872751,24.47266279410291,91.89646310902218,28.33637461607713,-4,3582.399964323958,0.0,2.428898015281795,0.0
5823,Sunamganj,3657.9524453183785,24.93746620109035,91.34485622262767,9.237314564004622,-37,526.4059468141118,0.0,1.1705978451057877,0.0
5824,Sylhet,3481.8049494258294,24.917530123740264,91.99326935893276,16.465947734178084,-16,1227.1149071803245,0.0,1.7214134929926639,0.0
5805,Bogra,2928.3197693522225,24.824600792482567,89.3791441201713,18.45688219868235,-13,4259.502269443649,0.0,1.505966447546638,0.0
5808,Joypurhat,977.2994976102374,25.09374905937758,89.08220276495982,22.59622453422189,12,3366.534324678794,0.0,1.1610335943594134,0.0
5811,Naogaon,3461.28056233983,24.90210492309251,88.75048349529612,21.731775542130563,3,2362.6180995022055,0.0,1.2427404825439021,0.0
5812,Natore,1910.025988446595,24.380823429879808,89.08637570639745,14.803372818315902,-4,4692.409040609961,0.0,1.2684895156435387,0.0
5813,Nawabganj,1635.3577860865196,24.722886649906066,88.26868035015839,27.041594532574877,2,2173.1792622603,0.0,1.3232394928810967,0.0
5815,Pabna,2400.056136950123,24.053263707195928,89.38420587944412,12.49820161918969,-15,3301.088477756742,0.0,1.293051694839077,0.0
5817,Rajshahi,2420.036159573218,24.467571853218598,88.65448598678935,20.539849689774492,-4,3641.73089663694,0.0,1.1791029252615892,0.0
5819,Sirajganj,2504.105057758518,24.392010837395258,89.5999475480735,13.28320744805871,-21,1704.7424175520955,0.0,1.4803589868479308,0.0
5806,Dinajpur,3444.5984975263555,25.63133675946018,88.78585732746267,37.167992219571595,13,3231.992659879962,0.0,1.3998189964568026,0.0
5807,Gaibandha,2174.2177149399336,25.299724016853023,89.50676889829498,22.952142019371774,-5,2843.200785185338,0.0,1.2629390137746814,0.0
5809,Kurigram,2229.6018262133243,25.794043002820572,89.69208684617783,27.606215260546094,-3,1528.0106728596293,0.0,1.2931558487781987,0.0
5810,Lalmonirhat,1238.5069683672136,26.062190992811423,89.23906385030287,44.143662567137824,12,4345.898148863496,0.0,1.2071013172718157,0.0
