district_id,district_name,dfo_avg_severity,gfd_avg_flooded_fraction,gfd_max_flooded_fraction,gfd_event_count,has_recorded_event,historical_magnitude
5762,Barisal,1.0,0.24612136166825568,1.0,43.0,True,0.12306068083412784
5763,Bhola,1.0,0.23181893428287487,1.0,42.0,True,0.11590946714143743
5764,Jhalokati,1.0,0.027236169481174386,0.0375699898891692,7.0,True,0.013618084740587193
5765,Patuakhali,1.25,0.05339580942426562,0.1438118096038706,28.0,True,0.15169790471213282
5766,Pirojpur,1.0,0.036836354904389,0.0634287604347371,19.0,True,0.0184181774521945
5767,Bandarban,1.0,,,,True,0.0
5768,Brahamanbaria,1.0,0.3785884156425376,0.8151781099388666,26.0,True,0.1892942078212688
5769,Chandpur,,0.2907767181450033,0.9890147591050356,55.0,True,0.2907767181450033
5770,Chittagong,1.0909090909090908,0.037595472960382764,0.0627120990911839,13.0,True,0.0642522819347368
5771,Comilla,1.0,0.0951546405811533,0.3062171716916824,25.0,True,0.04757732029057665
5772,Cox's Bazar,1.0,0.14296238386300036,0.195119362256479,20.0,True,0.07148119193150018
5773,Feni,1.0,0.06436326119788358,0.1326872160831813,11.0,True,0.03218163059894179
5774,Khagrachhari,,,,,False,0.10850356063623705
5775,Lakshmipur,,0.08059759295582658,0.1794740677224831,20.0,True,0.08059759295582658
5776,Noakhali,,0.06703541471129065,0.1564802747004863,39.0,True,0.06703541471129065
5777,Rangamati,,0.10850356063623705,0.1650467067586111,19.0,True,0.10850356063623705
5778,Dhaka,2.0,0.13436438244681517,0.4569296263684643,23.0,True,0.5671821912234076
5779,Faridpur,1.0,0.14800947830913644,0.5503294928816416,25.0,True,0.07400473915456822
5780,Gazipur,1.0,0.06114747026391903,0.141312357941934,19.0,True,0.030573735131959514
5781,Gopalganj,1.0,0.0997326190881171,0.1969514635473847,11.0,True,0.04986630954405855
5782,Jamalpur,1.5,0.22694735052767231,0.7790076881353323,40.0,True,0.36347367526383617
5783,Kishoreganj,1.5,0.5072471116233634,0.7070938775659121,28.0,True,0.5036235558116817
5784,Madaripur,1.0,0.1642325922001253,0.4661578514325014,24.0,True,0.08211629610006264
5785,Manikganj,1.0,0.3665822130823147,0.9958622565271448,41.0,True,0.18329110654115735
5786,Munshiganj,,0.16336179579239013,0.393003212605427,28.0,True,0.16336179579239013
5787,Mymensingh,1.1666666666666667,0.07744844152650479,0.220304471005323,16.0,True,0.12205755409658577
5788,Narayanganj,,0.13319701622990174,0.3572321890379033,26.0,True,0.13319701622990174
